,location,company,job_title,salary,city
21515,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21516,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21518,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21522,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21530,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21531,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21533,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21537,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21545,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21546,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21548,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21552,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21560,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21561,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21563,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21567,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21575,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21577,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21580,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21590,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21592,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21595,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21606,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21608,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21611,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21621,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21622,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21624,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21628,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21635,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21637,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21640,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21650,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21651,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21653,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21657,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21665,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21667,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21670,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21681,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21683,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21686,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21696,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
21697,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21699,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21703,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21711,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21713,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21716,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21726,"Austin, TX",University of Texas at Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,"$5,000 - $5,833 a month",Austin
